i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033
72,S0,66,163,42,,7162,72,99.5,88.0,71.62,-0.38,-38.0,826.0,191,354,109,46,99.5,81.5,112.0,-33.5,-15.5,-43,20,-46.0
73,S0,133,66,42,,7228,73,99.0,87,72.28,-0.72,-72.0,877.0,229,257,71,143,99.0,113.4,122.8,34.0,19.6,62,-10,10.2
74,S0,56,133,42,,7361,74,99.5,88.0,73.61,-0.39,-39.0,849.0,199,362,101,38,99.5,91.3,112.3,-43.5,-35.3,-45,18,-56.3
75,S0,62,56,42,,7417,75,98.9,87,74.17,-0.83,-83.0,892.0,189,255,111,145,98.9,116.7,126.3,-36.9,-54.7,-49,-83,-64.3
76,S0,114,62,42,,7479,76,98.4,84.5,74.79,-1.21,-121.0,1057.0,118,251,182,149,98.4,114.7,138.3,15.6,-0.7,-68,-35,-24.3
77,S0,105,114,42,,7593,77,98.6,87,75.93,-1.07,-107.0,894.0,176,232,124,168,98.6,97.6,133.9,6.4,7.4,-19,-63,-28.9
78,S0,28,105,42,,7698,78,98.7,88.0,76.98,-1.02,-102.0,834.0,219,281,81,119,98.7,100.6,132.4,-70.7,-72.6,-53,-91,-104.4
79,S0,85,28,42,,7726,79,97.8,87,77.26,-1.74,-174.0,853.0,133,247,167,153,97.8,125.9,155.2,-12.8,-40.9,-82,-68,-70.2
80,S0,226,85,42,bonus_bs15_gae3_no,7811,80,97.6,86.0,78.11,-1.89,-189.0,931.0,113,218,187,182,97.6,107.1,160.0,128.4,118.9,39,44,66.0
81,S0,88,226,42,bonus_bs15_gae3_no,8037,81,99.2,87,80.37,-0.63,-63.0,990.0,311,339,-11,61,99.2,60.7,120.0,-11.2,27.3,99,27,-32.0
82,S0,161,88,42,bonus_bs15_gae3_no,8125,82,99.1,87.5,81.25,-0.75,-75.0,950.0,314,399,-14,1,99.1,106.1,123.8,61.9,54.9,175,160,37.2
83,S1,69,161,0,,8286,83,99.8,88,82.86,-0.14,-14.0,982.0,249,475,51,-75,99.8,82.1,104.5,-30.8,-13.1,18,144,-35.5
84,S1,66,69,0,,8355,84,99.5,87.5,83.55,-0.45,-45.0,1005.0,230,318,70,82,99.5,112.4,114.3,-33.5,-46.4,-4,-16,-48.3
85,S1,95,66,0,,8421,85,99.1,87,84.21,-0.79,-79.0,1026.0,135,296,165,104,99.1,113.4,125.1,-4.1,-18.4,-70,-9,-30.1
86,S1,112,95,0,,8516,86,99.0,87.5,85.16,-0.84,-84.0,991.0,161,230,139,170,99.0,103.8,126.7,13.0,8.2,-27,-58,-14.7
87,S1,146,112,12,bonus_as10_gae3_no,8628,87,99.2,88,86.28,-0.72,-72.0,972.0,207,273,93,127,99.2,98.3,122.9,46.8,47.7,53,19,23.1
88,S1,107,146,12,bonus_as10_gae3_no,8774,88,99.7,88.5,87.74,-0.26,-26.0,986.0,258,353,42,47,99.7,87.1,108.3,7.3,19.9,65,60,-1.3
89,S1,32,107,12,bonus_as10_gae3_no,8881,89,99.8,89,88.81,-0.19,-19.0,960.0,253,365,47,35,99.8,99.9,106.1,-67.8,-67.9,-15,-3,-74.1
90,S1,166,32,13,bonus_as10_gae3_no,8913,90,99.0,88.5,89.13,-0.87,-87.0,948.0,139,285,161,115,99.0,124.6,127.7,67.0,41.4,5,51,38.3
91,S1,49,166,16,bonus_as10_gae3_no,9079,91,99.8,89,90.79,-0.21,-21.0,980.0,198,305,102,95,99.8,80.5,106.7,-50.8,-31.5,-53,-46,-57.7
92,S1,156,49,21,bonus_as10_gae3_no,9128,92,99.2,88.5,91.28,-0.72,-72.0,986.0,215,247,85,153,99.2,119.0,123.0,56.8,37.0,71,3,33.0
93,S1,47,156,21,bonus_as10_gae3_no,9284,93,99.8,89,92.84,-0.16,-16.0,1007.0,205,371,95,29,99.8,83.8,105.1,-52.8,-36.8,-48,18,-58.1
94,S1,70,47,21,bonus_as10_gae3_no,9331,94,99.3,88.5,93.31,-0.69,-69.0,1012.0,203,252,97,148,99.3,119.6,122.0,-29.3,-49.6,-27,-78,-52.0
95,S1,152,70,21,bonus_as10_gae3_no,9401,95,99.0,88,94.01,-0.99,-99.0,1041.0,117,273,183,127,99.0,112.1,131.6,53.0,39.9,-31,25,20.4
96,S1,52,152,21,bonus_as10_gae3_no,9553,96,99.5,88.5,95.53,-0.47,-47.0,1057.0,222,269,78,131,99.5,85.1,115.0,-47.5,-33.1,-26,-79,-63.0
97,S1,103,52,21,bonus_as10_gae3_no,9605,97,99.0,88,96.05,-0.95,-95.0,1069.0,204,274,96,126,99.0,118.0,130.4,4.0,-15.0,7,-23,-27.4
98,S1,159,103,31,bonus_as10_gae3_no,9708,98,99.1,88.5,97.08,-0.92,-92.0,1035.0,155,307,145,93,99.1,101.2,129.4,59.9,57.8,14,66,29.6
99,S1,48,159,31,bonus_as10_gae3_no,9867,99,99.7,89,98.67,-0.33,-33.0,1056.0,262,314,38,86,99.7,82.8,110.6,-51.7,-34.8,10,-38,-62.6
100,S1,77,48,31,bonus_as10_gae3_no,9915,100,99.2,88.5,99.15,-0.85,-85.0,1065.0,207,310,93,90,99.2,119.3,127.2,-22.2,-42.3,-16,-13,-50.2
101,S1,150,77,31,bonus_as10_gae3_no,9992,101,98.9,88,99.92,-1.08,-108.0,1104.0,125,284,175,116,98.9,109.8,134.6,51.1,40.2,-25,34,15.4
102,S1,102,150,31,bonus_as10_gae3_no,10142,102,99.4,88.5,101.42,-0.58,-58.0,1115.0,227,275,73,125,99.4,85.8,118.6,2.6,16.2,29,-23,-16.6
103,S1,83,102,31,bonus_as10_gae3_no,10244,103,99.5,89,102.44,-0.56,-56.0,1077.0,252,329,48,71,99.5,101.5,117.9,-16.5,-18.5,35,12,-34.9
104,S1,70,83,31,bonus_as10_gae3_no,10327,104,99.3,88.5,103.27,-0.73,-73.0,1123.0,185,335,115,65,99.3,107.8,123.4,-29.3,-37.8,-45,5,-53.4
105,S1,134,70,31,bonus_as10_gae3_no,10397,105,99.0,88,103.97,-1.03,-103.0,1157.0,153,255,147,145,99.0,112.1,133.0,35.0,21.9,-13,-11,1.0
106,S1,69,134,31,bonus_as10_gae3_no,10531,106,99.3,88.5,105.31,-0.69,-69.0,1150.0,204,287,96,113,99.3,91.0,122.1,-30.3,-22.0,-27,-44,-53.1
107,S1,160,69,31,bonus_as10_gae3_no,10600,107,99.1,88,106.0,-1.0,-100.0,1184.0,203,273,97,127,99.1,112.4,132.1,60.9,47.6,63,33,27.9
108,S1,108,160,31,bonus_as10_gae3_no,10760,108,99.6,88.5,107.6,-0.4,-40.0,1202.0,229,363,71,37,99.6,82.5,112.8,8.4,25.5,37,71,-4.8
109,S1,55,108,31,bonus_bs15_gae3_no,10868,109,99.7,89,108.68,-0.32,-32.0,1167.0,268,337,32,63,99.7,99.6,110.3,-44.7,-44.6,23,-8,-55.3
110,S1,173,55,31,bonus_bs15_gae3_no,10923,110,99.3,88.5,109.23,-0.77,-77.0,1188.0,163,323,137,77,99.3,117.0,124.7,73.7,56.0,36,96,48.3
111,S1,126,173,31,bonus_bs15_gae3_no,11096,111,100.0,89,110.96,-0.04,-4.0,1217.0,228,336,72,64,100.0,78.2,101.3,26.0,47.8,54,62,24.7
112,S1,77,126,31,bonus_bs15_gae3_no,11222,112,100.2,91.0,112.22,0.22,22.0,1030.0,299,354,1,46,100.2,93.6,92.9,-23.2,-16.6,76,31,-15.9
113,S1,137,77,37,,11299,113,100.0,89,112.99,-0.01,-1.0,1242.0,203,376,97,24,100.0,109.8,100.3,37.0,27.2,40,113,36.7
114,S1,280,137,37,bonus_as10_gae3_no,11436,114,100.3,91.0,114.36,0.36,36.0,1062.0,214,340,86,60,100.3,90.0,88.4,179.7,190.0,194,220,191.6
115,S1,292,280,42,bonus_as10_gae3_no,11716,115,101.9,93,117.16,2.16,216.0,1021.0,417,494,-117,-94,101.9,43.0,30.6,190.1,249.0,409,386,261.4
116,S1,443,292,47,bonus_bs15_gae3_no,12008,116,103.5,94.0,120.08,4.08,408.0,1104.0,572,709,-272,-309,103.5,39.0,-31.1,339.5,404.0,715,752,474.1
117,S1,70,443,47,bonus_bs15_gae3_no,12451,117,106.4,95,124.51,7.51,751.0,1336.0,735,1015,-435,-615,106.4,-10.6,-141.4,-36.4,80.6,505,685,211.4
118,S1,166,70,47,bonus_bs15_gae3_no,12521,118,106.1,94.0,125.21,7.21,721.0,1429.0,513,805,-213,-405,106.1,112.1,-131.8,59.9,53.9,379,571,297.8
