  row   spin#  idx(r1,r2,r3)  reel1 reel2 reel3  tri  flags
  335   65704        (2,2,2)   coin  coin  coin   3x  (triple: coin)
  336   65705        (4,4,1)  shiel shiel shiel   3x  (triple: shield)
  337   65707        (4,1,1)   coin  coin steal       
  338   65711        (0,0,0)  attac spins goldS       
  339   65712        (3,7,8)  attac attac attac   3x  (triple: attack)
  340   65713        (3,3,3)  accum goldS goldS       
  341   65714        (3,3,8)  goldS goldS goldS   3x  (triple: goldSack)
  342   65715        (1,1,5)  accum goldS goldS       
  343   65717        (3,7,8)   coin  coin  coin   3x  (triple: coin)
  344   65720        (0,0,0)   coin  coin steal       
  345   65722        (3,3,8)   coin  coin  coin   3x  (triple: coin)
  346   65723        (1,8,8)  accum goldS goldS       
  347   65724        (3,3,3)  accum accum  coin       
  348   65725        (3,3,8)  goldS goldS goldS   3x  (triple: goldSack)
  349   65726        (7,0,0)  accum goldS goldS       
  350   65727        (7,6,0)  attac attac goldS       
  351   65731        (3,7,8)   coin steal steal       
  352   65732        (3,0,0)  accum goldS goldS       
  353   65733        (5,8,8)  attac attac goldS       
  354   65736        (7,7,8)  attac attac goldS       
  355   65737        (7,3,8)  accum goldS goldS       
  356   65738        (8,8,8)  accum goldS goldS       >>> MAX BET (8,8,8) <<<
  357   65741        (1,1,1)  attac attac goldS       <-- NEXT SPIN AFTER SIGNAL
  358   65744        (7,4,0)   coin  coin spins       
  359   65745        (7,3,7)  attac steal goldS       
  360   65746        (7,3,8)  goldS goldS goldS   3x  (triple: goldSack)
  361   65747        (3,7,8)  accum goldS goldS       
  362   65748        (7,4,0)  accum goldS goldS       
  363   65750        (6,4,5)   coin spins spins       
  364   65751        (6,5,5)   coin steal spins       
  365   65753        (4,4,5)   coin steal steal       
  366   65755        (2,2,2)   coin  coin  coin   3x  (triple: coin)
  367   65756        (0,8,8)  shiel shiel shiel   3x  (triple: shield)
  368   65757        (0,0,0)  accum accum attac       
  369   65758        (3,7,8)  attac attac attac   3x  (triple: attack)
  370   65759        (4,4,4)  accum goldS goldS       
  371   65762        (0,0,0)  attac steal goldS       
  372   65763        (6,5,5)  attac attac attac   3x  (triple: attack)
  373   65764        (7,7,8)   coin  coin spins       
  374   65767        (3,3,8)   coin  coin spins       
  375   65768        (6,4,1)  accum goldS goldS       
  376   65769        (6,4,1)   coin steal spins       
  377   65770        (7,7,3)   coin steal spins       
  378   65771        (0,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  379   65773        (3,7,3)   coin shiel shiel       
  380   65774        (3,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  381   65776        (4,4,4)  attac steal goldS       
  382   65777        (3,4,0)  steal steal steal   3x  (triple: steal)
  383   65778        (7,2,0)  attac steal goldS       
  384   65779        (3,0,0)  attac shiel goldS       
  385   65783        (1,5,5)  attac shiel goldS       
  386   65784        (1,1,5)   coin  coin  coin   3x  (triple: coin)
  387   65785        (2,2,2)   coin  coin  coin   3x  (triple: coin)
  388   65786        (3,3,8)  shiel shiel shiel   3x  (triple: shield)
  389   65787        (2,5,0)  accum goldS goldS       
  390   65789        (1,8,8)  attac steal goldS       
  391   65790        (7,7,8)  accum accum  coin       
  392   65791        (1,1,5)  accum goldS goldS       
  393   65792        (4,4,4)   coin  coin  coin   3x  (triple: coin)
  394   65793        (6,1,1)  steal steal steal   3x  (triple: steal)
  395   65794        (0,0,0)   coin  coin spins       
  396   65795        (6,4,1)  attac attac attac   3x  (triple: attack)
  397   65797        (3,4,0)   coin  coin spins       
  398   65799        (8,8,8)   coin  coin  coin   3x  >>> MAX BET (8,8,8) <<<  (triple: coin)
                                                      --- gap 7: 76 spins ---
  399   65800        (5,8,8)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#7 ACC** (gap=76)
  400   65801        (1,1,1)  accum accum  coin       
  401   65802        (2,1,0)   coin  coin  coin   3x  (triple: coin)
  402   65803        (6,6,6)  attac  coin shiel       >>> MAX BET (6,6,6) <<<
  403   65805        (6,6,5)   coin  coin spins       <-- NEXT SPIN AFTER SIGNAL
  404   65806        (6,5,1)   coin spins spins       
  405   65807        (3,3,7)   coin  coin spins       
  406   65810        (0,0,0)  shiel goldS goldS       
  407   65811        (7,4,0)  attac attac attac   3x  (triple: attack)
  408   65812        (7,0,0)  attac steal goldS       
  409   65813        (7,7,3)  attac attac goldS       
  410   65814        (3,7,8)  goldS goldS goldS   3x  (triple: goldSack)
  411   65815        (3,7,8)  accum goldS goldS       
  412   65816        (7,7,8)  accum goldS goldS       
  413   65817        (3,3,8)  accum goldS goldS       
  414   65818        (1,8,8)  accum goldS goldS       
  415   65819        (0,0,0)  accum accum  coin       
  416   65820        (2,1,0)  attac attac attac   3x  (triple: attack)
  417   65822        (3,3,8)  attac steal goldS       
  418   65823        (1,8,8)  accum goldS goldS       
  419   65825        (0,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  420   65826        (2,2,2)  attac attac attac   3x  (triple: attack)
  421   65827        (5,8,8)  shiel shiel shiel   3x  (triple: shield)
  422   65828        (7,7,8)  accum accum  coin       
  423   65829        (7,7,8)  accum goldS goldS       
  424   65832        (2,2,2)   coin steal spins       
  425   65835        (3,7,7)   coin steal spins       
  426   65836        (3,0,0)  goldS goldS goldS   3x  (triple: goldSack)
  427   65837        (3,3,8)  attac attac goldS       
  428   65838        (7,3,8)  accum goldS goldS       
  429   65839        (3,7,8)  accum goldS goldS       
  430   65840        (4,4,4)  accum goldS goldS       
  431   65842        (0,0,0)  attac  coin shiel       
  432   65844        (3,6,0)  attac spins goldS       
  433   65845        (5,8,8)  attac spins goldS       
  434   65846        (7,6,0)  accum accum  coin       
  435   65849        (7,3,8)  attac spins goldS       
  436   65850        (2,2,2)  accum goldS goldS       
  437   65851        (3,7,3)  shiel shiel shiel   3x  (triple: shield)
