sn,csv_seq,r1_idx,r2_idx,r3_idx,s1,s2,s3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,is_valuable,se_hash,bet_state
65640,65641,2,1,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65641,65642,3,3,7,2,2,2,goldSack,goldSack,goldSack,gold,1,True,False,9b0002fd,3
65642,65643,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65643,65644,1,1,5,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65644,65645,7,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65645,65646,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65647,65648,6,6,5,1,6,6,coin,spins,spins,gold,1,False,False,9b0002fd,3
65648,65649,6,4,5,1,4,6,coin,steal,spins,gold,1,False,False,9b0002fd,3
65649,65650,4,4,1,1,4,4,coin,steal,steal,gold,1,False,False,9b0002fd,3
65651,65652,5,1,1,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65652,65653,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65653,65654,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65654,65655,7,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65655,65656,4,5,5,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65656,65657,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65657,65658,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65659,65660,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65662,65663,1,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65663,65664,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65664,65665,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65666,65667,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65667,65668,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65668,65669,3,7,3,2,2,2,goldSack,goldSack,goldSack,gold,1,True,False,9b0002fd,3
65670,65671,4,1,1,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65671,65672,0,8,8,30,30,3,accumulation,accumulation,attack,gold,6,False,False,9b0002fd,3
65674,65675,4,4,5,1,4,4,coin,steal,steal,gold,1,False,False,9b0002fd,3
65675,65676,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65680,65681,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65681,65682,4,5,1,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65682,65683,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65684,65685,3,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65685,65686,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65688,65689,6,6,6,6,6,6,spins,spins,spins,spins,5,True,True,9b0002fd,3
65689,65690,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65690,65691,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65691,65692,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65692,65693,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65693,65694,7,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65694,65695,1,5,5,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65695,65696,3,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65696,65697,4,1,5,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65697,65698,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65698,65699,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65699,65700,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65701,65702,3,0,0,3,3,2,attack,attack,goldSack,gold,1,False,False,9b0002fd,3
65703,65704,1,1,1,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65704,65705,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65705,65706,4,4,1,1,4,4,coin,steal,steal,gold,1,False,False,9b0002fd,3
65707,65708,4,1,1,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65711,65712,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65712,65713,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65713,65714,3,3,3,2,2,2,goldSack,goldSack,goldSack,gold,1,True,False,9b0002fd,3
65714,65715,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65715,65716,1,1,5,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65717,65718,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65720,65721,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65722,65723,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65723,65724,1,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65724,65725,3,3,3,2,2,2,goldSack,goldSack,goldSack,gold,1,True,False,9b0002fd,3
65725,65726,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65726,65727,7,0,0,3,3,2,attack,attack,goldSack,gold,1,False,False,9b0002fd,3
65727,65728,7,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65731,65732,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65732,65733,3,0,0,3,3,2,attack,attack,goldSack,gold,1,False,False,9b0002fd,3
65733,65734,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65736,65737,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65737,65738,7,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65738,65739,8,8,8,30,30,30,accumulation,accumulation,accumulation,gold,10,True,False,9b0002fd,3
65741,65742,1,1,1,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65744,65745,7,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65745,65746,7,3,7,2,2,2,goldSack,goldSack,goldSack,gold,1,True,False,9b0002fd,3
65746,65747,7,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65747,65748,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65748,65749,7,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65750,65751,6,4,5,1,4,6,coin,steal,spins,gold,1,False,False,9b0002fd,3
