================================================================================
CHUNK 2: SYMBOL COUNTER SWEEPS
================================================================================

======================================== ACC (178 gaps) ========================================

--- ACC: Each sa_* counter as rate gate (threshold=130) ---
     counter    gate   caught     bet%    mb/hit    lift
           sa_spn/sa_shd    0.90   55/178   10.88%      35.7    2.84x
           sa_spn/sa_shd    1.00   51/178    9.57%      33.9    2.99x
           sa_spn/sa_shd    1.10   44/178    7.91%      32.5    3.12x
           sa_spn/sa_shd    1.20   29/178    5.37%      33.4    3.04x
           sa_spn/sa_shd    1.30   18/178    3.34%      33.5    3.03x
           sa_spn/sa_shd    1.40   15/178    2.30%      27.7    3.66x
           sa_spn/sa_shd    1.50   11/178    1.42%      23.3    4.36x
           sa_spn/sa_shd    1.60    8/178    0.71%      16.0    6.34x
           sa_atk/sa_acc    0.30   59/178   12.55%      38.4    2.64x
           sa_atk/sa_acc    0.40   59/178   12.55%      38.4    2.64x
           sa_atk/sa_acc    0.50   59/178   12.55%      38.4    2.64x
           sa_atk/sa_acc    0.60   59/178   12.55%      38.4    2.64x
           sa_atk/sa_acc    0.70   59/178   12.55%      38.4    2.64x
           sa_atk/sa_acc    0.80   59/178   12.55%      38.4    2.64x
           sa_atk/sa_acc    0.90   59/178   12.55%      38.4    2.64x
           sa_atk/sa_acc    1.00   59/178   12.55%      38.4    2.64x
           sa_atk/sa_acc    1.10   58/178   12.55%      39.1    2.60x
           sa_atk/sa_acc    1.20   57/178   12.51%      39.6    2.56x
           sa_atk/sa_acc    1.30   55/178   12.45%      40.9    2.48x
           sa_atk/sa_acc    1.40   52/178   11.87%      41.2    2.46x
           sa_atk/sa_acc    1.50   48/178   11.28%      42.4    2.39x
           sa_atk/sa_acc    1.60   35/178    9.69%      50.0    2.03x
           sa_atk/sa_acc    1.70   29/178    7.80%      48.6    2.09x
           sa_atk/sa_acc    1.80   21/178    6.00%      51.6    1.97x
           sa_atk/sa_acc    1.90   12/178    4.57%      68.8    1.48x
           sa_atk/sa_spn    0.30   59/178   12.55%      38.4    2.64x
           sa_atk/sa_spn    0.40   59/178   12.55%      38.4    2.64x
           sa_atk/sa_spn    0.50   59/178   12.55%      38.4    2.64x
           sa_atk/sa_spn    0.60   59/178   12.55%      38.4    2.64x
           sa_atk/sa_spn    0.70   59/178   12.55%      38.4    2.64x
           sa_atk/sa_spn    0.80   59/178   12.55%      38.4    2.64x
           sa_atk/sa_spn    0.90   59/178   12.55%      38.4    2.64x
           sa_atk/sa_spn    1.00   59/178   12.55%      38.4    2.64x
           sa_atk/sa_spn    1.10   59/178   12.55%      38.4    2.64x
           sa_atk/sa_spn    1.20   59/178   12.52%      38.3    2.65x
           sa_atk/sa_spn    1.30   59/178   12.26%      37.5    2.70x
