GAP_COMPARISON: +/- 20 vs +/- 30 WINDOW
Format: [Gap #] | Result_20 | Bets_20 | Result_30 | Bets_30
[spi] Gap #024 | FAIL  |   0 MB | FAIL  |  12 MB
[spi] Gap #025 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #026 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #027 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #028 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #029 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #030 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #031 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #032 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #033 | CATCH |   3 MB | CATCH |   3 MB
[spi] Gap #034 | FAIL  |   0 MB | CATCH |   3 MB
[spi] Gap #035 | FAIL  |  27 MB | FAIL  |  48 MB
[spi] Gap #036 | FAIL  |   0 MB | FAIL  |  12 MB
[spi] Gap #037 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #038 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #039 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #040 | FAIL  |   0 MB | FAIL  |  12 MB
[spi] Gap #041 | FAIL  |  11 MB | FAIL  |  11 MB
[spi] Gap #042 | FAIL  |  22 MB | FAIL  |  22 MB
[spi] Gap #043 | FAIL  |  45 MB | FAIL  |  45 MB
[spi] Gap #044 | CATCH |   6 MB | CATCH |   6 MB
[spi] Gap #045 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #046 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #047 | FAIL  |  33 MB | FAIL  |  33 MB
[spi] Gap #048 | FAIL  |  59 MB | FAIL  |  59 MB
[spi] Gap #049 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #050 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #051 | CATCH |   2 MB | CATCH |   2 MB
[spi] Gap #052 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #053 | CATCH |   9 MB | CATCH |   9 MB
[spi] Gap #054 | FAIL  |  22 MB | FAIL  |  22 MB
[spi] Gap #055 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #056 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #057 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #058 | FAIL  |  20 MB | FAIL  |  20 MB
[spi] Gap #059 | FAIL  |   0 MB | CATCH |  13 MB
[spi] Gap #060 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #061 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #062 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #063 | FAIL  |   0 MB | FAIL  |   0 MB

========== ACCOUNT: AHMED ==========
[acc] Gap #004 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #005 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #006 | CATCH |   6 MB | CATCH |   6 MB
[acc] Gap #007 | FAIL  |  57 MB | FAIL  |  57 MB
[acc] Gap #008 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #009 | FAIL  |  45 MB | FAIL  |  45 MB
[acc] Gap #010 | FAIL  |  22 MB | FAIL  |  22 MB
[acc] Gap #011 | CATCH |   3 MB | CATCH |   3 MB
[acc] Gap #012 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #013 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #014 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #015 | FAIL  |  29 MB | FAIL  |  29 MB
[acc] Gap #016 | CATCH |   5 MB | CATCH |   5 MB
[acc] Gap #017 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #018 | CATCH |   5 MB | FAIL  |  16 MB
[acc] Gap #019 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #020 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #021 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #022 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #023 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #024 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #025 | CATCH |   5 MB | CATCH |   5 MB
[acc] Gap #026 | CATCH |   2 MB | CATCH |   2 MB
[acc] Gap #027 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #028 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #029 | FAIL  |   0 MB | FAIL  |   0 MB
